time,cmd,address,value
0.008042335510253906,WRITE16,0x4000062,0xc243
0.0169832706451416,WRITE16,0x4000068,0xc645
0.05799365043640137,WRITE16,0x4000064,0x8706
0.058983802795410156,WRITE16,0x400006c,0x802c
0.26829004287719727,WRITE16,0x4000062,0x243
0.30930161476135254,WRITE16,0x4000064,0x8706
0.7678849697113037,WRITE16,0x4000068,0x645
0.8088912963867188,WRITE16,0x400006c,0x802c
1.0177931785583496,WRITE16,0x4000068,0xc645
1.0586230754852295,WRITE16,0x400006c,0x82c7
1.4987866878509521,WRITE16,0x4000062,0xc243
1.5577661991119385,WRITE16,0x4000064,0x8721
1.7490029335021973,WRITE16,0x4000062,0x243
1.7579960823059082,WRITE16,0x4000068,0x645
1.8081920146942139,WRITE16,0x4000064,0x8721
1.8090102672576904,WRITE16,0x400006c,0x82c7
1.9980113506317139,WRITE16,0x4000062,0xc243
2.0082015991210938,WRITE16,0x4000068,0xc645
2.058082342147827,WRITE16,0x400006c,0x8416
2.0590107440948486,WRITE16,0x4000064,0x8739
2.248006820678711,WRITE16,0x4000062,0x243
2.307176113128662,WRITE16,0x4000064,0x8739
2.757416248321533,WRITE16,0x4000068,0x645
2.7982757091522217,WRITE16,0x400006c,0x8416
2.9992198944091797,WRITE16,0x4000062,0xc243
3.007230281829834,WRITE16,0x4000068,0xc645
3.048410177230835,WRITE16,0x4000064,0x8744
3.0492215156555176,WRITE16,0x400006c,0x84b5
3.2492194175720215,WRITE16,0x4000062,0x243
3.2492194175720215,WRITE16,0x4000062,0xc243
3.2982988357543945,WRITE16,0x4000064,0x8744
3.2992212772369385,WRITE16,0x4000064,0x874f
3.5082592964172363,WRITE16,0x4000062,0x243
3.509265184402466,WRITE16,0x4000062,0xc243
3.557422637939453,WRITE16,0x4000064,0x874f
3.55826997756958,WRITE16,0x4000064,0x8759
3.757425546646118,WRITE16,0x4000062,0x243
3.758415937423706,WRITE16,0x4000062,0xc243
3.7686123847961426,WRITE16,0x4000068,0x645
3.807408332824707,WRITE16,0x4000064,0x8759
3.807408332824707,WRITE16,0x4000064,0x86b2
3.8084006309509277,WRITE16,0x400006c,0x84b5
4.007771253585815,WRITE16,0x4000062,0x243
4.057778358459473,WRITE16,0x4000064,0x86b2
